Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8
0.1446,1.4404,4.2689,-9.2554,-2.8426,0.2229,-2.565,-10.849
-0.1554,0.1404,3.3689,-10.555,-2.0426,-21.777,-16.565,-6.8493
2.1446,0.5404,4.4689,-7.7554,0.1574,-3.7771,-8.565,-18.849
1.9446,-2.2596,0.8689,-8.5554,0.4574,-11.777,-20.565,-28.849
3.3446,-0.7596,2.2689,-6.9554,1.6574,-9.7771,-26.565,-28.849
3.0446,-2.3596,2.5689,-7.7554,1.6574,-5.7771,-32.565,-30.849
4.1446,-3.8596,3.1689,-6.8554,1.8574,-13.777,-40.565,-54.849
4.0446,-4.7596,3.2689,-8.6554,2.7574,-13.777,-36.565,-34.849
5.9446,-2.8596,3.1689,-5.2554,4.4574,-3.7771,-24.565,-32.849
2.9446,-3.4596,0.7689,-7.3554,3.8574,-3.7771,-24.565,-36.849
-1.3554,-2.9596,2.0689,-6.3554,3.5574,-11.777,-28.565,-60.849
-3.4554,-5.4596,2.0689,-6.3554,4.6574,2.2229,-10.565,-26.849
-0.9554,-3.8596,4.5689,-5.9554,6.3574,-1.7771,-12.565,-10.849
0.9446,-4.8596,3.3689,-6.1554,6.1574,-7.7771,-24.565,-12.849
3.5446,-2.6596,4.6689,-2.8554,7.0574,8.2229,-14.565,-22.849
2.5446,-3.2596,2.4689,-2.4554,4.2574,2.2229,-12.565,-24.849
2.8446,-1.8596,1.4689,-2.8554,2.9574,0.2229,-20.565,-28.849
2.0446,-2.5596,-3.8311,-3.9554,-1.0426,-25.777,-26.565,-14.849
1.1446,-0.2596,-3.0311,0.3446,-0.9426,0.2229,-16.565,-4.8493
0.9446,-2.2596,-2.6311,0.8446,0.1574,6.2229,-0.565,-2.8493
-1.0554,-1.5596,-1.4311,1.4446,0.9574,-5.7771,-4.565,-0.8493
-2.5554,-1.1596,-0.2311,0.3446,1.4574,-17.777,-10.565,-8.8493
-3.9554,-3.8596,0.4689,-1.0554,1.4574,-15.777,-28.565,-20.849
-2.1554,-4.3596,1.9689,0.4446,4.7574,30.223,-34.565,-26.849
-2.1554,-7.5596,1.5689,0.9446,6.8574,54.223,-46.565,-12.849
-4.9554,-11.76,2.4689,3.9446,9.4574,74.223,-24.565,3.1507
-5.1554,-12.76,1.7689,4.9446,6.4574,62.223,-0.565,25.151
-9.2554,-7.4596,-3.7311,5.9446,-2.9426,20.223,89.435,125.15
-14.855,4.6404,-12.231,9.9446,-15.643,-75.777,241.44,275.15
-25.355,18.84,-27.231,12.745,-34.143,-225.78,425.43,455.15
-32.955,42.94,-42.531,12.345,-54.543,-405.78,571.43,577.15
-38.355,63.54,-54.331,10.045,-67.443,-543.78,713.43,709.15
-44.755,78.94,-63.131,7.1446,-82.443,-667.78,815.43,773.15
-46.755,90.84,-69.731,-1.2554,-90.843,-629.78,821.43,665.15
-27.455,97.64,-59.031,-15.055,-78.643,-439.78,575.43,283.15
4.4446,88.04,-35.431,-27.755,-52.443,-203.78,267.44,-56.849
24.245,63.44,-14.631,-35.455,-26.743,-45.777,-38.565,-270.85
33.945,35.94,4.5689,-34.255,-3.6426,98.223,-248.56,-408.85
33.545,9.1404,13.169,-24.455,12.357,198.22,-256.56,-334.85
25.645,-11.16,18.569,-12.155,21.557,194.22,-246.56,-264.85
16.245,-23.96,19.269,-3.3554,25.457,178.22,-222.56,-186.85
10.745,-30.06,17.869,1.3446,25.657,158.22,-218.56,-152.85
7.1446,-31.66,18.569,4.9446,25.757,154.22,-202.56,-124.85
5.9446,-31.16,16.769,4.7446,23.957,138.22,-214.56,-136.85
3.4446,-31.56,13.169,3.5446,22.357,134.22,-200.56,-114.85
4.0446,-30.06,15.369,6.2446,22.757,122.22,-190.56,-110.85
2.3446,-29.76,13.969,9.2446,21.857,120.22,-178.56,-100.85
2.2446,-29.66,14.069,6.7446,20.457,114.22,-168.56,-94.849
3.5446,-27.56,14.369,5.5446,17.657,102.22,-174.56,-112.85
3.4446,-27.96,14.769,4.8446,16.057,108.22,-138.56,-88.849
3.6446,-23.16,13.769,5.6446,16.357,106.22,-126.56,-74.849
