Canal_1,Canal_2,Canal_3,Canal_4,Canal_5
0.1446,1.4404,4.2689,-9.2554,-2.8426
-0.1554,0.1404,3.3689,-10.555,-2.0426
2.1446,0.5404,4.4689,-7.7554,0.1574
1.9446,-2.2596,0.8689,-8.5554,0.4574
3.3446,-0.7596,2.2689,-6.9554,1.6574
3.0446,-2.3596,2.5689,-7.7554,1.6574
4.1446,-3.8596,3.1689,-6.8554,1.8574
4.0446,-4.7596,3.2689,-8.6554,2.7574
5.9446,-2.8596,3.1689,-5.2554,4.4574
2.9446,-3.4596,0.7689,-7.3554,3.8574
-1.3554,-2.9596,2.0689,-6.3554,3.5574
-3.4554,-5.4596,2.0689,-6.3554,4.6574
-0.9554,-3.8596,4.5689,-5.9554,6.3574
0.9446,-4.8596,3.3689,-6.1554,6.1574
3.5446,-2.6596,4.6689,-2.8554,7.0574
2.5446,-3.2596,2.4689,-2.4554,4.2574
2.8446,-1.8596,1.4689,-2.8554,2.9574
2.0446,-2.5596,-3.8311,-3.9554,-1.0426
1.1446,-0.2596,-3.0311,0.3446,-0.9426
0.9446,-2.2596,-2.6311,0.8446,0.1574
-1.0554,-1.5596,-1.4311,1.4446,0.9574
-2.5554,-1.1596,-0.2311,0.3446,1.4574
-3.9554,-3.8596,0.4689,-1.0554,1.4574
-2.1554,-4.3596,1.9689,0.4446,4.7574
-2.1554,-7.5596,1.5689,0.9446,6.8574
-4.9554,-11.76,2.4689,3.9446,9.4574
-5.1554,-12.76,1.7689,4.9446,6.4574
-9.2554,-7.4596,-3.7311,5.9446,-2.9426
-14.855,4.6404,-12.231,9.9446,-15.643
-25.355,18.84,-27.231,12.745,-34.143
-32.955,42.94,-42.531,12.345,-54.543
-38.355,63.54,-54.331,10.045,-67.443
-44.755,78.94,-63.131,7.1446,-82.443
-46.755,90.84,-69.731,-1.2554,-90.843
-27.455,97.64,-59.031,-15.055,-78.643
4.4446,88.04,-35.431,-27.755,-52.443
24.245,63.44,-14.631,-35.455,-26.743
33.945,35.94,4.5689,-34.255,-3.6426
33.545,9.1404,13.169,-24.455,12.357
25.645,-11.16,18.569,-12.155,21.557
16.245,-23.96,19.269,-3.3554,25.457
10.745,-30.06,17.869,1.3446,25.657
7.1446,-31.66,18.569,4.9446,25.757
5.9446,-31.16,16.769,4.7446,23.957
3.4446,-31.56,13.169,3.5446,22.357
4.0446,-30.06,15.369,6.2446,22.757
2.3446,-29.76,13.969,9.2446,21.857
2.2446,-29.66,14.069,6.7446,20.457
3.5446,-27.56,14.369,5.5446,17.657
3.4446,-27.96,14.769,4.8446,16.057
3.6446,-23.16,13.769,5.6446,16.357
4.1446,-20.56,15.969,7.6446,17.057
4.3446,-20.36,14.769,5.7446,15.957
3.5446,-18.46,12.769,4.8446,14.357
2.0446,-14.46,7.1689,4.1446,11.157
2.0446,-11.36,5.4689,6.1446,9.2574
1.5446,-10.76,5.4689,7.2446,9.0574
0.5446,-13.06,3.6689,5.7446,9.1574
1.2446,-12.46,3.7689,4.9446,8.8574
1.7446,-12.66,5.0689,4.5446,7.4574
0.4446,-11.76,3.8689,-0.0554,5.3574
0.5446,-9.5596,3.1689,0.6446,4.3574
-0.0554,-10.46,1.5689,2.1446,4.0574
1.1446,-9.3596,1.2689,1.7446,4.5574
2.9446,-6.0596,2.9689,3.3446,6.1574
0.8446,-6.8596,3.0689,3.5446,6.4574
-2.3554,-7.2596,3.2689,5.0446,5.7574
-2.3554,-7.0596,3.0689,5.2446,4.5574
-1.4554,-7.4596,3.2689,5.8446,4.7574
-3.1554,-6.8596,1.5689,2.4446,3.0574
-1.3554,-2.9596,2.6689,4.2446,3.2574
-2.0554,-1.6596,1.1689,2.0446,1.7574
-1.8554,-0.5596,0.9689,2.5446,0.6574
-0.8554,-1.2596,1.5689,3.6446,0.1574
-2.0554,-1.4596,-0.3311,2.5446,-0.4426
-1.3554,-0.8596,0.6689,1.8446,0.2574
-1.3554,-0.3596,-0.1311,4.2446,-0.6426
-0.2554,1.1404,-3.0311,5.9446,-0.9426
0.4446,2.7404,-4.9311,4.5446,-2.0426
1.2446,4.7404,-4.7311,4.5446,-3.8426
1.2446,5.1404,-4.6311,5.4446,-3.9426
-0.1554,5.2404,-5.1311,3.1446,-4.0426
-0.1554,4.3404,-3.1311,2.9446,-3.8426
-1.8554,1.1404,-4.3311,5.4446,-1.3426
-0.9554,1.2404,-4.3311,8.7446,-0.5426
0.6446,5.0404,-7.7311,9.7446,-0.4426
7.1446,11.64,-9.4311,9.8446,2.2574
14.945,18.24,-12.631,7.5446,0.9574
12.845,18.44,-16.931,7.4446,-5.2426
3.3446,11.54,-17.031,6.1446,-13.243
-13.255,-3.2596,-8.4311,3.1446,-18.543
-20.055,-9.2596,-1.0311,0.3446,-14.543
-16.155,-5.7596,-2.1311,1.1446,-10.243
-8.0554,0.2404,-1.7311,3.8446,-6.2426
-8.0554,2.5404,-3.8311,3.4446,-5.2426
-8.7554,0.5404,-3.0311,4.9446,-4.3426
-8.6554,-0.2596,-3.6311,3.5446,-3.8426
-8.7554,1.6404,-2.6311,3.3446,-3.6426
-7.2554,2.8404,-1.2311,3.2446,-1.3426
-7.4554,-2.0596,-2.6311,-0.0554,-1.8426
-5.2554,-1.7596,-2.4311,-0.7554,-1.9426
-3.0554,-0.2596,-1.8311,-0.4554,-1.7426
-3.2554,0.9404,-2.4311,0.3446,-1.6426
-3.9554,-0.6596,-2.0311,1.9446,-1.3426
-5.8554,-3.7596,-0.9311,2.4446,0.6574
-3.3554,-3.9596,0.6689,2.0446,2.6574
-1.5554,-4.9596,2.7689,4.1446,6.7574
-0.0554,-7.7596,4.6689,1.3446,7.9574
3.2446,-5.0596,6.4689,1.0446,9.2574
2.8446,-6.8596,5.1689,1.1446,8.1574
7.9446,-4.8596,6.0689,0.2446,7.5574
7.2446,-6.8596,2.2689,-2.3554,4.4574
10.545,-3.1596,4.9689,-0.9554,6.0574
10.945,-1.9596,6.7689,0.9446,6.4574
10.045,-3.3596,6.1689,-0.8554,5.9574
9.4446,-3.5596,6.5689,-3.1554,4.9574
8.8446,-4.8596,5.7689,-5.5554,6.2574
11.045,-3.1596,4.6689,-4.2554,4.1574
9.6446,-3.4596,3.6689,-1.9554,5.1574
11.445,-1.8596,3.9689,-1.2554,6.3574
10.845,-2.1596,6.5689,-0.6554,8.1574
7.9446,-3.3596,6.4689,-3.5554,8.2574
7.4446,-3.7596,6.3689,-3.6554,8.2574
5.7446,-1.5596,5.7689,-4.0554,6.7574
8.4446,-0.4596,5.8689,-4.6554,5.6574
9.3446,-1.5596,5.9689,-3.8554,7.1574
9.2446,-3.5596,5.5689,-1.4554,5.2574
4.7446,-3.6596,4.1689,-1.0554,4.5574
1.9446,-2.3596,2.8689,-2.9554,4.7574
1.0446,-3.4596,3.3689,-2.7554,4.7574
1.0446,-4.5596,2.3689,-0.6554,2.4574
0.9446,-2.2596,0.0689,-2.5554,1.6574
1.9446,-0.5596,3.3689,-1.4554,3.6574
0.6446,-1.8596,4.8689,-0.9554,5.1574
0.6446,-3.5596,6.0689,-0.5554,5.4574
-0.4554,-4.4596,3.0689,1.0446,3.6574
-0.0554,-1.7596,0.2689,0.2446,3.1574
2.4446,2.3404,-0.1311,0.9446,0.3574
1.3446,2.3404,-0.9311,0.4446,-0.3426
1.3446,1.2404,-0.6311,1.9446,-1.4426
0.1446,-0.8596,-1.4311,3.2446,-0.9426
0.0446,-2.0596,0.2689,-0.3554,-0.0426
-1.9554,-0.5596,-0.0311,-2.5554,-0.9426
-1.9554,0.2404,1.5689,-1.4554,-0.4426
-1.7554,0.3404,2.6689,0.5446,0.8574
-0.3554,1.2404,4.6689,-1.9554,0.2574
0.0446,-0.4596,3.2689,-3.6554,-0.3426
1.8446,0.3404,0.5689,-2.5554,-0.2426
0.4446,-1.7596,0.7689,-0.8554,1.8574
0.1446,-0.0596,-0.3311,-0.8554,0.3574
-1.8554,-1.0596,-0.9311,-1.1554,-0.2426
-1.9554,-1.7596,-1.5311,-1.3554,-0.2426
0.3446,0.7404,-0.7311,-0.4554,-0.2426
-0.8554,1.8404,-0.8311,-1.3554,-1.3426
-2.4554,-0.2596,-1.2311,-0.8554,-1.4426
-0.4554,0.1404,2.0689,-1.6554,-0.9426
2.0446,-0.9596,1.5689,0.3446,0.4574
2.2446,-0.8596,1.4689,-0.9554,0.6574
0.5446,-1.0596,0.4689,-3.0554,0.9574
0.2446,-1.7596,1.2689,-2.0554,1.6574
-0.7554,-2.5596,-0.3311,-0.4554,0.2574
-1.7554,-1.9596,-0.7311,-0.2554,0.3574
1.2446,0.0404,-0.6311,-1.6554,-2.0426
0.7446,0.0404,-0.1311,-1.4554,-1.6426
0.2446,-1.4596,1.7689,0.2446,-2.2426
-0.7554,-0.7596,1.7689,0.6446,0.0574
-2.0554,-0.4596,1.2689,1.2446,0.0574
-1.0554,-0.1596,0.9689,3.0446,1.3574
-4.0554,1.4404,-0.0311,3.4446,2.3574
-4.4554,1.5404,-1.6311,3.7446,1.8574
-4.4554,0.7404,-3.2311,2.3446,0.9574
-2.4554,3.5404,-2.1311,1.1446,-1.1426
-2.8554,5.5404,-4.5311,1.7446,-3.2426
-1.5554,7.3404,-5.7311,0.8446,-5.5426
-3.4554,7.6404,-6.9311,1.6446,-6.3426
-5.2554,6.7404,-5.9311,-1.8554,-6.0426
-3.7554,6.6404,-4.4311,-1.1554,-2.8426
-2.5554,2.9404,-4.3311,0.2446,-2.7426
-2.2554,2.5404,-3.0311,-0.0554,-1.3426
-1.8554,0.9404,-2.4311,-0.1554,-0.8426
-1.3554,-0.7596,-0.9311,1.6446,-1.3426
-0.9554,-0.4596,-0.4311,0.5446,-3.4426
0.0446,1.6404,1.2689,0.3446,-3.2426
0.1446,0.5404,0.5689,0.1446,-2.0426
-5.0554,1.0404,1.3689,0.2446,-0.3426
-6.0554,-3.2596,1.1689,0.0446,-0.2426
-6.4554,-4.8596,1.3689,-1.5554,-0.0426
-5.7554,-3.5596,4.3689,-1.8554,0.4574
-5.6554,-3.4596,5.3689,-0.8554,2.2574
-6.5554,-5.7596,5.0689,0.2446,3.2574
-5.6554,-4.7596,3.6689,-2.3554,2.0574
-1.7554,-3.1596,3.0689,-1.4554,1.2574
-2.4554,-1.7596,2.4689,1.0446,2.0574
-1.3554,-1.1596,4.8689,4.2446,4.5574
-2.8554,-3.3596,4.0689,-0.1554,3.1574
-0.7554,0.0404,2.8689,-2.0554,1.7574
-2.3554,-2.4596,2.8689,-3.5554,3.2574
-2.2554,-6.0596,2.8689,-1.4554,3.6574
0.0446,-4.1596,3.6689,1.4446,5.8574
1.9446,-0.0596,1.5689,4.1446,6.8574
6.5446,2.5404,-0.3311,6.5446,7.2574
12.845,8.4404,-5.6311,6.3446,7.2574
15.445,13.24,-11.931,4.1446,1.8574
10.845,10.04,-14.331,0.6446,-5.4426
-6.1554,-5.4596,-5.1311,-2.2554,-8.7426
-19.755,-17.46,4.4689,-3.6554,-6.8426
-15.355,-15.56,9.5689,-0.6554,0.0574
-7.2554,-13.46,9.8689,1.4446,7.0574
-6.5554,-14.96,6.3689,3.0446,7.0574
-7.1554,-13.16,7.0689,7.1446,4.3574
-12.155,-6.4596,0.1689,8.9446,-3.9426
-17.655,8.6404,-9.3311,12.645,-17.443
-26.055,27.04,-25.431,12.445,-38.443
-36.455,50.14,-44.131,6.5446,-59.343
-42.755,68.74,-56.931,2.2446,-74.943
-46.455,85.34,-67.131,0.3446,-89.443
-43.955,100.64,-69.931,-8.4554,-92.743
-21.155,101.14,-54.431,-22.355,-75.943
9.9446,88.94,-32.331,-35.355,-49.543
29.445,60.54,-9.9311,-38.255,-21.943
37.745,29.54,7.4689,-32.755,0.7574
32.345,2.0404,14.969,-20.655,14.457
21.745,-16.56,18.269,-7.6554,23.057
13.445,-28.16,19.969,0.2446,26.157
9.1446,-33.06,21.369,4.5446,28.157
6.4446,-34.86,20.069,6.8446,27.157
6.3446,-33.06,17.569,4.8446,24.257
7.0446,-31.96,16.669,6.5446,22.557
6.2446,-29.16,15.869,8.6446,23.057
5.0446,-27.66,15.369,6.9446,23.057
5.2446,-26.66,14.469,6.2446,20.757
3.3446,-27.16,12.369,5.9446,19.457
4.4446,-22.86,11.169,4.4446,16.457
3.3446,-22.16,11.869,4.9446,16.257
3.9446,-21.86,9.5689,3.8446,15.457
3.8446,-17.86,7.2689,2.8446,12.757
3.1446,-17.56,9.2689,3.1446,14.457
2.0446,-18.26,7.4689,0.3446,11.157
1.0446,-15.16,6.4689,2.9446,11.457
0.8446,-13.46,5.0689,1.6446,9.9574
1.3446,-11.76,4.9689,-1.2554,9.2574
2.3446,-10.56,6.3689,-0.4554,10.057
4.3446,-10.06,4.4689,-0.3554,8.6574
4.2446,-6.6596,3.7689,0.9446,6.9574
3.5446,-4.1596,3.3689,-0.5554,6.4574
3.3446,-6.1596,2.3689,0.2446,6.8574
2.9446,-6.4596,2.5689,2.8446,6.3574
0.4446,-7.3596,1.6689,1.5446,4.1574
-0.0554,-5.9596,1.2689,0.4446,2.0574
-0.4554,-5.7596,2.1689,0.9446,2.9574
-0.7554,-5.5596,3.5689,1.4446,3.0574
-0.3554,-6.4596,2.8689,1.5446,3.6574
1.5446,-5.0596,2.3689,1.0446,3.1574
2.3446,-4.5596,1.4689,1.9446,2.0574
3.2446,-2.8596,2.0689,2.9446,2.7574
1.8446,-1.8596,1.1689,3.4446,3.6574
5.2446,-1.0596,1.7689,3.6446,2.5574
4.3446,-1.3596,0.2689,1.2446,2.1574
4.7446,-0.3596,-0.2311,-1.0554,-0.6426
4.6446,3.0404,-0.4311,0.0446,-0.8426
3.8446,1.7404,-0.4311,0.1446,-0.2426
2.9446,-0.1596,-0.6311,-0.8554,-1.1426
3.4446,0.7404,-1.5311,1.1446,-2.6426
0.9446,-1.0596,-2.9311,1.1446,-2.8426
0.4446,1.6404,-2.9311,1.3446,-3.1426
-0.0554,2.9404,-3.7311,2.9446,-2.9426
-0.7554,3.2404,-3.7311,3.7446,-3.5426
-1.2554,1.8404,-3.8311,5.3446,-3.3426
-1.1554,1.9404,-3.7311,3.9446,-4.3426
-1.4554,2.5404,-2.3311,3.9446,-4.4426
-2.3554,5.2404,-2.0311,5.2446,-4.2426
-3.1554,5.7404,-1.0311,3.6446,-4.7426
-6.2554,3.5404,-3.2311,1.2446,-4.6426
-1.7554,7.7404,-2.7311,1.7446,-1.9426
-0.6554,9.6404,-3.5311,1.7446,-3.2426
0.6446,9.9404,-3.5311,1.9446,-3.6426
0.9446,8.9404,-5.1311,0.9446,-6.2426
0.2446,5.3404,-4.8311,3.5446,-4.7426
-0.3554,8.1404,-4.1311,2.4446,-5.2426
0.6446,8.7404,-5.6311,2.8446,-5.3426
0.0446,8.7404,-5.4311,2.3446,-5.0426
0.3446,7.2404,-4.0311,1.1446,-3.8426
-0.9554,6.1404,-2.7311,2.0446,-2.9426
0.0446,3.6404,-3.9311,0.3446,-2.2426
0.3446,3.1404,-4.3311,1.8446,0.6574
0.6446,1.9404,-4.7311,2.2446,2.0574
-0.0554,-0.3596,-2.5311,0.4446,3.8574
-1.9554,-2.9596,-0.2311,0.4446,3.7574
-4.2554,-3.6596,0.2689,-1.2554,3.8574
-2.4554,-3.0596,0.8689,-4.8554,1.3574
0.6446,-4.7596,2.4689,-6.0554,2.7574
3.5446,-2.7596,4.5689,-5.3554,3.8574
5.5446,-1.3596,5.3689,-4.2554,3.9574
7.2446,-1.0596,6.5689,-4.2554,5.5574
6.8446,-3.0596,5.0689,-4.1554,6.8574
7.6446,-5.1596,6.0689,-3.2554,8.8574
7.7446,-5.0596,6.7689,-4.3554,8.0574
5.9446,-4.7596,6.9689,-4.7554,7.6574
5.1446,-6.3596,7.9689,-3.5554,7.3574
5.1446,-7.4596,7.8689,-1.9554,5.6574
5.6446,-6.4596,9.0689,-0.2554,6.4574
6.2446,-3.0596,8.2689,-1.9554,5.4574
6.7446,-2.8596,7.5689,-1.6554,7.0574
7.1446,-3.4596,7.8689,-1.1554,7.7574
6.3446,-3.0596,4.6689,-3.1554,4.8574
5.7446,-0.3596,6.0689,-1.7554,6.1574
4.6446,-2.3596,4.3689,-1.4554,4.1574
4.7446,-3.0596,4.8689,1.4446,5.7574
5.0446,-3.5596,3.6689,-0.4554,3.8574
2.8446,-5.2596,3.9689,-0.9554,4.8574
4.1446,-4.7596,4.8689,-2.4554,4.3574
2.9446,-3.4596,4.5689,-1.5554,4.3574
3.8446,-3.0596,4.0689,1.8446,5.7574
4.2446,-3.0596,4.7689,5.3446,5.9574
4.2446,-0.5596,3.2689,7.5446,7.3574
6.6446,1.4404,-1.0311,6.5446,10.057
14.845,10.64,-5.1311,6.6446,7.9574
14.845,12.04,-8.8311,6.6446,1.6574
7.3446,6.8404,-9.4311,5.4446,-3.8426
-9.9554,-8.9596,-0.0311,2.5446,-7.9426
-16.655,-15.76,8.7689,-0.6554,-4.1426
-11.855,-10.76,9.6689,0.1446,1.5574
-3.0554,-6.6596,6.5689,0.2446,2.9574
-1.3554,-7.1596,5.6689,1.1446,2.8574
-1.0554,-5.4596,5.1689,2.8446,1.8574
-2.8554,-4.3596,5.9689,3.6446,1.9574
-2.5554,-5.0596,6.0689,3.6446,3.4574
-3.0554,-5.5596,5.4689,3.0446,4.5574
-2.3554,-4.9596,5.0689,3.1446,4.5574
-2.4554,-4.1596,4.6689,3.1446,3.2574
-0.8554,-3.8596,5.6689,4.3446,4.1574
-0.2554,-3.6596,3.6689,1.8446,1.1574
-1.8554,-5.2596,3.3689,2.0446,0.8574
-2.3554,-4.6596,4.8689,2.3446,1.8574
-0.4554,-3.9596,4.4689,1.9446,2.1574
-1.1554,-1.8596,3.6689,0.3446,1.2574
-0.2554,-0.6596,2.5689,3.4446,1.8574
-0.6554,-2.1596,2.3689,4.5446,2.8574
-2.2554,-2.4596,2.1689,2.5446,0.2574
-3.1554,-2.5596,3.1689,5.0446,1.1574
-1.2554,-1.0596,3.4689,3.5446,1.6574
-2.4554,-3.0596,4.0689,4.7446,4.2574
-3.1554,-2.8596,5.0689,4.2446,3.9574
-4.4554,-3.9596,1.6689,3.6446,1.1574
-6.0554,-4.1596,-0.6311,4.3446,-1.9426
-4.9554,-1.7596,-2.4311,9.1446,-0.3426
-4.7554,1.9404,-3.4311,7.1446,-0.7426
-4.7554,0.9404,-3.3311,6.7446,-2.5426
-6.0554,0.2404,-3.2311,6.2446,-4.2426
-6.6554,1.5404,-1.9311,5.7446,-3.4426
-6.5554,1.2404,-1.3311,7.2446,-3.5426
-4.3554,2.6404,-0.6311,6.5446,-2.2426
-0.8554,1.8404,0.5689,6.2446,-1.7426
1.2446,2.1404,1.0689,3.8446,-0.4426
1.4446,1.2404,1.9689,3.2446,0.8574
1.0446,0.7404,0.4689,2.8446,-0.9426
0.9446,2.0404,-0.2311,3.4446,-1.1426
1.7446,-0.4596,1.6689,2.8446,-1.0426
2.3446,-1.9596,2.6689,1.7446,0.2574
3.4446,-3.2596,3.1689,1.8446,0.5574
3.5446,-3.2596,2.7689,2.6446,0.5574
4.1446,-3.5596,2.7689,3.3446,2.4574
3.9446,-6.0596,1.5689,3.9446,3.7574
4.4446,-5.4596,2.6689,6.6446,4.9574
4.0446,-6.3596,2.7689,2.6446,2.9574
3.6446,-4.8596,4.9689,3.4446,1.9574
3.7446,-4.0596,5.7689,4.5446,1.7574
5.3446,-4.3596,5.9689,5.2446,1.5574
3.4446,-5.0596,5.2689,5.5446,4.0574
3.9446,-2.6596,6.2689,5.3446,5.1574
2.7446,-3.9596,5.0689,5.4446,5.1574
2.2446,-6.7596,4.5689,3.6446,5.7574
3.6446,-6.5596,2.4689,2.8446,5.1574
2.8446,-6.4596,1.5689,5.2446,5.5574
1.5446,-6.2596,1.8689,6.6446,4.8574
0.9446,-6.0596,1.9689,5.1446,3.4574
1.6446,-2.5596,2.9689,5.1446,3.6574
0.9446,-2.3596,1.5689,4.9446,2.6574
-1.0554,-2.8596,2.1689,5.6446,1.8574
0.1446,-2.2596,3.5689,6.9446,3.6574
0.0446,-6.1596,5.5689,7.0446,5.6574
-2.6554,-9.5596,7.1689,7.4446,9.0574
-5.3554,-12.16,6.1689,10.745,9.7574
-6.3554,-10.86,4.0689,15.645,6.9574
-11.955,-4.9596,-1.6311,16.945,-2.0426
-18.755,6.5404,-12.131,20.145,-16.143
-27.655,28.34,-28.631,21.845,-35.143
-35.855,52.04,-45.631,20.745,-56.043
-40.955,69.84,-55.131,18.145,-71.443
-46.455,85.24,-65.531,13.645,-87.343
-40.255,100.04,-65.431,3.0446,-89.043
-16.455,95.94,-48.831,-11.755,-67.743
13.545,79.44,-25.731,-24.955,-40.043
29.645,53.34,-3.7311,-28.455,-14.543
36.245,23.54,10.369,-24.655,4.6574
33.945,0.3404,17.269,-11.855,17.857
22.845,-18.36,18.769,0.0446,25.657
15.645,-26.66,18.969,7.6446,27.857
11.545,-30.06,19.169,9.8446,28.857
7.5446,-31.56,16.869,8.5446,26.557
8.5446,-31.06,17.569,9.3446,25.857
7.1446,-30.36,16.769,8.9446,25.557
6.6446,-28.86,16.569,6.9446,23.857
6.8446,-27.06,16.369,7.0446,23.357
6.8446,-26.96,15.569,7.4446,22.257
5.7446,-26.36,15.269,9.2446,20.957
5.8446,-25.56,14.369,12.545,19.557
5.8446,-23.26,13.969,12.745,16.957
4.9446,-20.96,15.269,12.545,15.857
2.0446,-22.46,15.169,14.145,16.057
1.5446,-19.66,14.169,12.845,15.557
1.8446,-17.86,12.569,10.445,11.857
2.7446,-15.96,11.869,10.345,10.157
3.1446,-15.36,10.469,8.4446,9.7574
3.1446,-13.86,9.7689,7.8446,8.2574
1.6446,-12.66,11.269,8.8446,9.7574
0.5446,-13.16,9.8689,7.6446,7.6574
3.1446,-12.26,9.3689,7.9446,6.5574
1.4446,-10.66,9.4689,8.1446,8.0574
0.4446,-10.76,7.8689,7.8446,7.0574
0.9446,-7.7596,8.8689,10.345,6.3574
0.5446,-7.3596,9.9689,7.2446,6.6574
0.1446,-4.8596,6.5689,7.0446,5.4574
0.8446,-3.9596,5.1689,8.0446,4.8574
3.4446,-5.1596,6.3689,8.7446,6.0574
1.0446,-5.1596,6.0689,7.4446,5.0574
-0.5554,-3.6596,7.3689,12.145,7.0574
2.4446,-2.0596,4.1689,12.645,7.3574
7.6446,2.0404,0.6689,10.845,8.3574
17.345,9.3404,-3.2311,11.145,8.4574
17.845,12.14,-9.6311,9.8446,3.7574
12.745,9.3404,-13.131,7.3446,-4.3426
-2.4554,-2.3596,-5.0311,5.9446,-10.143
-13.855,-11.56,6.2689,4.1446,-8.5426
-10.955,-10.86,6.9689,1.1446,-5.3426
-1.7554,-3.4596,5.3689,2.4446,-1.2426
-0.2554,0.3404,4.8689,3.7446,-1.0426
-0.0554,1.8404,5.1689,3.0446,-1.3426
-0.7554,1.0404,5.6689,2.7446,-1.8426
-1.9554,0.6404,3.6689,2.3446,-3.2426
-3.1554,-1.0596,1.4689,2.2446,-4.9426
-3.0554,-0.2596,1.5689,3.6446,-3.8426
-1.3554,1.7404,2.1689,5.9446,-2.8426
-0.5554,3.6404,1.7689,6.1446,-3.5426
-1.5554,4.1404,0.9689,8.5446,-1.1426
-1.9554,2.6404,-2.1311,6.3446,-1.9426
-0.5554,2.5404,-0.3311,6.8446,-2.1426
-0.9554,0.9404,1.7689,10.245,-1.0426
-0.0554,3.4404,1.0689,9.0446,-2.1426
-0.6554,4.5404,-0.8311,7.3446,-2.5426
-1.9554,2.2404,-1.2311,7.1446,-2.0426
-2.6554,1.0404,-1.9311,6.2446,-2.6426
-2.4554,2.6404,-3.1311,6.3446,-3.8426
-2.1554,3.7404,-0.4311,7.5446,-1.4426
-2.3554,0.9404,0.8689,5.8446,-2.1426
-0.9554,2.3404,0.6689,7.4446,-2.5426
-2.1554,2.1404,1.9689,9.1446,-0.4426
-3.1554,-0.2596,1.9689,7.1446,2.2574
-3.1554,-1.3596,1.5689,7.5446,3.7574
-2.4554,-2.3596,3.2689,8.5446,6.3574
-2.7554,-2.8596,3.2689,9.0446,6.2574
-0.2554,-4.8596,4.3689,8.4446,5.1574
-0.4554,-8.3596,5.3689,8.6446,5.9574
1.7446,-7.3596,6.9689,6.3446,5.6574
0.6446,-6.7596,7.6689,3.9446,7.1574
1.8446,-5.7596,10.969,4.7446,8.1574
0.4446,-9.1596,9.7689,5.0446,10.857
3.6446,-9.4596,7.9689,4.2446,9.2574
3.5446,-10.36,9.1689,3.4446,9.0574
3.5446,-8.2596,10.869,3.0446,10.557
4.5446,-7.7596,11.969,4.0446,11.457
4.0446,-7.6596,13.469,4.3446,12.257
5.9446,-8.5596,10.669,4.0446,11.857
5.7446,-9.1596,8.2689,3.2446,9.2574
3.8446,-8.1596,9.0689,4.9446,9.1574
3.3446,-6.7596,8.6689,4.1446,10.057
5.7446,-5.3596,8.8689,4.0446,8.7574
4.8446,-6.0596,7.9689,3.6446,8.5574
3.6446,-4.7596,7.9689,3.5446,7.3574
1.3446,-5.1596,5.9689,4.8446,7.6574
1.3446,-5.3596,5.2689,5.9446,7.4574
-0.4554,-5.4596,5.2689,7.2446,8.8574
-0.8554,-6.3596,4.1689,4.5446,7.8574
-0.0554,-6.1596,6.9689,5.7446,7.0574
-0.4554,-5.0596,7.9689,7.1446,6.7574
-0.6554,-5.5596,8.0689,7.6446,8.1574
-1.4554,-7.0596,6.1689,6.2446,7.5574
-1.9554,-6.3596,6.2689,6.7446,7.3574
-1.0554,-3.6596,7.3689,8.9446,7.6574
-1.9554,-4.9596,4.4689,9.9446,6.3574
-5.7554,-7.3596,5.2689,10.045,5.3574
-7.2554,-5.3596,4.2689,9.7446,3.6574
-7.7554,-3.9596,4.8689,9.3446,3.6574
-8.7554,-3.5596,5.7689,9.7446,3.7574
-12.655,-7.4596,4.1689,6.7446,3.1574
-10.855,-5.7596,2.2689,5.7446,1.7574
-10.355,-5.4596,3.8689,7.4446,1.9574
-7.2554,-1.8596,3.4689,8.6446,4.0574
-6.8554,-1.1596,2.8689,6.2446,3.0574
-6.7554,-3.0596,3.5689,5.8446,2.9574
-6.6554,-2.8596,3.5689,4.8446,3.3574
-5.0554,-2.5596,4.7689,4.6446,2.3574
-4.6554,-3.1596,4.7689,6.8446,4.8574
-4.8554,-3.7596,3.5689,3.4446,3.1574
-6.0554,-4.6596,6.6689,3.4446,4.5574
-7.3554,-4.9596,4.7689,4.1446,3.8574
-3.6554,-1.4596,4.5689,7.1446,4.7574
-5.3554,-4.8596,2.6689,5.8446,4.5574
-5.5554,-3.6596,4.0689,6.0446,4.3574
-3.6554,-2.6596,4.1689,8.0446,5.3574
-5.9554,-3.1596,4.3689,6.6446,5.0574
-5.0554,-1.6596,2.8689,8.0446,4.6574
-6.4554,-1.5596,0.8689,9.2446,4.4574
-7.1554,-0.5596,0.8689,10.945,3.3574
-8.4554,0.1404,0.1689,10.045,2.9574
-8.4554,0.8404,-0.1311,8.1446,2.3574
-6.7554,1.4404,-0.6311,7.1446,0.1574
-5.4554,2.6404,-0.9311,9.4446,0.8574
-5.2554,2.0404,-0.9311,10.045,-1.0426
